abilene-christian,2,Abilene Christian,
ACU,2,Abilene Christian,
akron,5,Akron,
AKR,5,Akron,
alabama-am,6,Alabama A&M,
AAM,6,Alabama A&M,
alabama-st,7,Alabama St.,
ALAST,7,Alabama St.,
alabama,8,Alabama,
ALA,8,Alabama,
BAMA,8,Alabama,
uab,9,UAB,
UAB,9,UAB,
appalachian-st,27,Appalachian State,
APP,27,Appalachian State,
arizona-st,28,Arizona State,
ASU,28,Arizona State,
arizona,29,Arizona,
ARI,29,Arizona,
arkansas-st,30,Arkansas State,
ARKS,30,Arkansas State,
arkansas,31,Arkansas,
ARK,31,Arkansas,
auburn,37,Auburn,
AUB,37,Auburn,
ball-st,47,Ball State,
BALL,47,Ball State,
charleston-so,48,Charleston So.,
CCH,48,Charleston So.,
baylor,51,Baylor,
BAY,51,Baylor,
bethune-cookman,61,Bethune-Cookman,
BCU,61,Bethune-Cookman,
boise-st,66,Boise State,
BOISE,66,Boise State,
boston-college,67,Boston College,
BC,67,Boston College,
bowling-green,71,Bowling Green,
BGN,71,Bowling Green,
byu,77,BYU,
BYU,77,BYU,
bucknell,83,Bucknell,
BUC,83,Bucknell,
buffalo,86,Buffalo,
BUF,86,Buffalo,
cal-poly,90,Cal Poly,
CPS,90,Cal Poly,
fresno-st,96,Fresno State,
FRE,96,Fresno State,
sacramento-st,102,Sacramento State,
california,107,California,
CAL,107,California,
CSUS,107,California,
uc-davis,108,UC Davis,
UCD,108,UC Davis,
ucla,110,UCLA,
UCLA,110,UCLA,
ucf,128,UCF,
UCF,128,UCF,
central-mich,129,Central Michigan,
CMC,129,Central Michigan,
centarkansas,130,Central Arkansas,
cincinnati,140,Cincinnati,
CIN,140,Cincinnati,
citadel,141,Citadel,
CIT,141,Citadel,
clemson,147,Clemson,
CLE,147,Clemson,
colorado-st,156,Colorado State,
CSU,156,Colorado State,
colorado,157,Colorado,
COL,157,Colorado,
uconn,164,Connecticut,
UCONN,164,Connecticut,
delaware,180,Delaware,
DEL,180,Delaware,
duke,193,Duke,
DUK,193,Duke,
east-carolina,196,East Carolina,
ECU,196,East Carolina,
eastern-ill,201,Eastern Illinois,
EIL,201,Eastern Illinois,
eastern-ky,202,Eastern Kentucky,
EKY,202,Eastern Kentucky,
eastern-mich,204,Eastern Michigan,
EMC,204,Eastern Michigan,
emichigan,204,Eastern Michigan,
eastern-wash,207,Eastern Washington,
EW,207,Eastern Washington,
florida-am,228,Florida A&M,
FAMU,228,Florida A&M,
fla-atlantic,229,Florida Atlantic,
floridaatl,229,Florida Atlantic,
FAU,229,Florida Atlantic,
fiu,231,Florida International,
FIU,231,Florida International,
florida-st,234,Florida State,
FSU,234,Florida State,
florida,235,Florida,
FLA,235,Florida,
fordham,236,Fordham,
FOR,236,Fordham,
furman,244,Furman,
FUR,244,Furman,
ga-southern,253,Georgia Southern,
GSO,253,Georgia Southern,
georgia-st,254,Georgia State,Georgia State
GST,254,Georgia State,
georgia-tech,255,Georgia Tech,
GT,255,Georgia Tech,
georgia,257,Georgia,
UGA,257,Georgia,
grambling,261,Grambling,
GRA,261,Grambling,
hampton,270,Hampton,
HAMP,270,Hampton,
hawaii,277,Hawai'i,
HAW,277,Hawai'i,
houston,288,Houston,
HOU,288,Houston,
howard,290,Howard,
HOW,290,Howard,
idaho-st,294,Idaho State,
IDS,294,Idaho State,
idaho,295,Idaho,
IDA,295,Idaho,
illinois,301,Illinois,
ILL,301,Illinois,
indiana-st,305,Indiana State,
INDS,305,Indiana State,
indiana,306,Indiana,
IU,306,Indiana,
iowa-st,311,Iowa State,
